0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	148
16	400
17	598
18	823
19	865
20	1071
21	1226
22	1548
23	1673
24	1679
25	1652
26	2134
27	2217
28	2256
29	2477
30	2783
31	2659
32	2673
33	2940
34	2876
35	2723
36	3134
37	3313
38	3375
39	3627
40	3100
41	3462
42	3585
43	3456
44	3669
45	3426
46	3518
47	3726
48	3462
49	3467
50	3806
51	3487
52	3490
53	3809
54	3105
55	3125
56	3107
57	3068
58	3365
59	3409
60	3175
61	2766
62	2785
63	2540
64	2903
65	2358
66	2492
67	2295
68	1817
69	1732
70	1777
71	1615
72	1441
73	1442
74	1096
75	1039
76	745
77	510
78	352
79	120
